[2025-11-27 16:02:39.231] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2025-11-27 16:02:39.237] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-11-27 16:02:39.239] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-11-27 16:02:39.247] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-11-27 16:02:39.248] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-11-27 16:02:39.250] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-11-27 16:02:39.252] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-11-27 16:02:39.253] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-11-27 16:02:39.255] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-11-27 16:02:39.275] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-11-27 16:02:39.276] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-11-27 16:02:39.281] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-11-27 16:02:39.282] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-11-27 16:02:39.288] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-11-27 16:02:39.289] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-11-27 16:02:39.299] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-11-27 16:02:39.300] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-11-27 16:02:39.306] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-11-27 16:02:39.308] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-11-27 16:02:39.313] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-11-27 16:02:39.313] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-11-27 16:02:39.426] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-11-27 16:02:39.427] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-11-27 16:02:39.439] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-11-27 16:02:39.440] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-11-27 16:02:39.445] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-11-27 16:02:39.446] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-11-27 16:02:39.448] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-11-27 16:02:39.450] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-11-27 16:02:39.452] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-11-27 16:02:39.453] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-11-27 16:02:39.478] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-11-27 16:02:39.479] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-11-27 16:02:39.483] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-11-27 16:02:39.484] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-11-27 16:02:39.487] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-11-27 16:02:39.488] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-11-27 16:02:39.511] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-11-27 16:02:39.512] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-11-27 16:02:39.516] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-11-27 16:02:39.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-11-27 16:02:39.524] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-11-27 16:02:39.525] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
